query,pandas_function_call
Find cumulative sum of temperature,df['temperature'].cumsum()
Find covariance of sales,df.cov()['sales']
Find covariance of sales,df.cov()['sales']
Get statistical variance of temperature,df['temperature'].var()
Compute running min for score,df['score'].cummin()
Get cumsum for revenue,df['revenue'].cumsum()
Compute skew for height,df['height'].skew()
Find cumulative min of profit,df['profit'].cummin()
Compute change for expenses,df['expenses'].diff()
Count entries in expenses,df['expenses'].count()
Show statistics for profit,df['profit'].describe()
Get cummax for temperature,df['temperature'].cummax()
Show skew value for temperature,df['temperature'].skew()
Find the median of height,df['height'].median()
Find maximum of age,df['age'].max()
Get MAD of temperature,df['temperature'].mad()
Compute percentile for price,df['price'].quantile(0.5)
Find median quantile of age,df['age'].quantile(0.5)
Find number of unique values in temperature,df['temperature'].nunique()
Find variance of profit,df['profit'].var()
Show statistics for height,df['height'].describe()
Get quantile for price,df['price'].quantile(0.5)
Compute change for expenses,df['expenses'].diff()
Find mean absolute deviation of temperature,df['temperature'].mad()
Find variance of age,df['age'].var()
Find skewness of price,df['price'].skew()
Compute running product for sales,df['sales'].cumprod()
Find cumulative sum of profit,df['profit'].cumsum()
Get cummin for age,df['age'].cummin()
Calculate sum for profit,df['profit'].sum()
Find the sum of weight,df['weight'].sum()
Get the min of weight,df['weight'].min()
Get diff for weight,df['weight'].diff()
Compute running max for profit,df['profit'].cummax()
Get most frequent value in weight,df['weight'].mode()
Find minimum of profit,df['profit'].min()
Show percent change of age,df['age'].pct_change()
Get total of height,df['height'].sum()
Get cummax for price,df['price'].cummax()
Find number of records for score,df['score'].count()
Find cumulative max of price,df['price'].cummax()
Get most frequent value in profit,df['profit'].mode()
Find cumulative min of temperature,df['temperature'].cummin()
Compute running total for score,df['score'].cumsum()
Get the min of score,df['score'].min()
Find mean absolute deviation of expenses,df['expenses'].mad()
Compute median for height,df['height'].median()
Compute std for height,df['height'].std()
Find the average of weight,df['weight'].mean()
Get MAD of score,df['score'].mad()
Find cumulative max of temperature,df['temperature'].cummax()
Find cumulative sum of weight,df['weight'].cumsum()
Find difference in sales,df['sales'].diff()
Get cumsum for expenses,df['expenses'].cumsum()
Find cumulative max of score,df['score'].cummax()
Find the average of score,df['score'].mean()
Find number of records for temperature,df['temperature'].count()
Get summary of score,df['score'].describe()
Find skewness of weight,df['weight'].skew()
Find skewness of expenses,df['expenses'].skew()
Get unique values of temperature,df['temperature'].unique()
Compute kurtosis for expenses,df['expenses'].kurt()
Find number of records for temperature,df['temperature'].count()
Find value counts of weight,df['weight'].value_counts()
Get quantile for expenses,df['expenses'].quantile(0.5)
Find cumulative sum of price,df['price'].cumsum()
Get diff for revenue,df['revenue'].diff()
Find variance of price,df['price'].var()
Find variance of age,df['age'].var()
Get most frequent value in revenue,df['revenue'].mode()
Get most frequent value in expenses,df['expenses'].mode()
Compute percentile for price,df['price'].quantile(0.5)
Get total of score,df['score'].sum()
Find cumulative sum of age,df['age'].cumsum()
Find value counts of expenses,df['expenses'].value_counts()
Get total of profit,df['profit'].sum()
Get total of price,df['price'].sum()
Show skew value for age,df['age'].skew()
Find kurtosis of profit,df['profit'].kurt()
Get cummax for temperature,df['temperature'].cummax()
Get total of temperature,df['temperature'].sum()
Show relationship of temperature,df.corr()['temperature']
Find value counts of price,df['price'].value_counts()
Show percent change of temperature,df['temperature'].pct_change()
Show skew value for revenue,df['revenue'].skew()
Find correlation with weight,df.corr()['weight']
Find number of unique values in weight,df['weight'].nunique()
Find percentage change in weight,df['weight'].pct_change()
Compute running total for price,df['price'].cumsum()
Compute percentile for revenue,df['revenue'].quantile(0.5)
Compute mode for sales,df['sales'].mode()
Find cumulative sum of height,df['height'].cumsum()
Get variation in height,df['height'].std()
Compute MAD for sales,df['sales'].mad()
Find the average of sales,df['sales'].mean()
Compute kurtosis for score,df['score'].kurt()
Get summary of height,df['height'].describe()
Find mean absolute deviation of sales,df['sales'].mad()
Get cumsum for profit,df['profit'].cumsum()
Get variation in expenses,df['expenses'].std()
Show skew value for temperature,df['temperature'].skew()
Get the min of profit,df['profit'].min()
Get unique values of expenses,df['expenses'].unique()
Find number of unique values in score,df['score'].nunique()
Show covariance of temperature,df.cov()['temperature']
Compute kurtosis for age,df['age'].kurt()
Find number of unique values in expenses,df['expenses'].nunique()
Find minimum of height,df['height'].min()
Calculate sum for price,df['price'].sum()
Show kurtosis of temperature,df['temperature'].kurt()
Find covariance of sales,df.cov()['sales']
Show lowest value for expenses,df['expenses'].min()
Describe values of weight,df['weight'].describe()
Get cumprod for age,df['age'].cumprod()
Get unique values of profit,df['profit'].unique()
Find mode of weight,df['weight'].mode()
Show kurtosis of age,df['age'].kurt()
Count entries in sales,df['sales'].count()
Compute percentile for price,df['price'].quantile(0.5)
Get the max of price,df['price'].max()
Find cumulative sum of sales,df['sales'].cumsum()
Compute value counts of profit,df['profit'].value_counts()
Find difference in expenses,df['expenses'].diff()
Get summary of score,df['score'].describe()
Compute change for weight,df['weight'].diff()
Find the sum of height,df['height'].sum()
Compute running min for profit,df['profit'].cummin()
Show mean of profit,df['profit'].mean()
Compute running total for height,df['height'].cumsum()
Find the median of score,df['score'].median()
Compute median for expenses,df['expenses'].median()
Get MAD of expenses,df['expenses'].mad()
Compute median for weight,df['weight'].median()
Show mean of price,df['price'].mean()
Show skew value for sales,df['sales'].skew()
Total count for profit,df['profit'].count()
Compute change for sales,df['sales'].diff()
Show kurtosis of temperature,df['temperature'].kurt()
Get summary of revenue,df['revenue'].describe()
Find correlation with score,df.corr()['score']
Count entries in revenue,df['revenue'].count()
Get most frequent value in temperature,df['temperature'].mode()
Compute kurtosis for revenue,df['revenue'].kurt()
Describe values of sales,df['sales'].describe()
Find mode of price,df['price'].mode()
Compute MAD for price,df['price'].mad()
Get unique values of expenses,df['expenses'].unique()
Find the median of price,df['price'].median()
Show frequency distribution for price,df['price'].value_counts()
Find cumulative max of score,df['score'].cummax()
Find cumulative min of profit,df['profit'].cummin()
Get statistical variance of profit,df['profit'].var()
Show mean of height,df['height'].mean()
Find covariance of score,df.cov()['score']
Get quantile for temperature,df['temperature'].quantile(0.5)
Find unique values in price,df['price'].unique()
Compute correlation for weight,df.corr()['weight']
Compute change for sales,df['sales'].diff()
Compute running total for sales,df['sales'].cumsum()
Total count for price,df['price'].count()
Show skew value for sales,df['sales'].skew()
Find the median of profit,df['profit'].median()
Total count for temperature,df['temperature'].count()
Compute running min for age,df['age'].cummin()
Compute std for height,df['height'].std()
Calculate sum for expenses,df['expenses'].sum()
Show distinct entries for temperature,df['temperature'].unique()
Find number of unique values in revenue,df['revenue'].nunique()
Find number of unique values in weight,df['weight'].nunique()
Show relationship of sales,df.corr()['sales']
Get variation in profit,df['profit'].std()
Compute covariance for revenue,df.cov()['revenue']
Show relationship of revenue,df.corr()['revenue']
Count entries in revenue,df['revenue'].count()
Get variation in weight,df['weight'].std()
Show relationship of weight,df.corr()['weight']
Compute skew for height,df['height'].skew()
Compute running product for weight,df['weight'].cumprod()
Find cumulative min of price,df['price'].cummin()
Find value counts of revenue,df['revenue'].value_counts()
Compute running max for score,df['score'].cummax()
Compute running product for age,df['age'].cumprod()
Get diff for age,df['age'].diff()
Count unique entries for expenses,df['expenses'].nunique()
Describe values of score,df['score'].describe()
Show percent change of profit,df['profit'].pct_change()
Compute std for expenses,df['expenses'].std()
Compute MAD for expenses,df['expenses'].mad()
Find cumulative max of profit,df['profit'].cummax()
Compute std for weight,df['weight'].std()
Find kurtosis of revenue,df['revenue'].kurt()
Find standard deviation of height,df['height'].std()
Get cumprod for score,df['score'].cumprod()
Find the median of age,df['age'].median()
Find the sum of price,df['price'].sum()
Compute skew for revenue,df['revenue'].skew()
Get the min of sales,df['sales'].min()
Compute mode for sales,df['sales'].mode()
Count entries in temperature,df['temperature'].count()
Total count for age,df['age'].count()
Find cumulative product of age,df['age'].cumprod()
Compute percentile for price,df['price'].quantile(0.5)
Compute kurtosis for weight,df['weight'].kurt()
Get variation in height,df['height'].std()
Find the average of weight,df['weight'].mean()
Find difference in price,df['price'].diff()
Find mode of price,df['price'].mode()
Get statistical variance of age,df['age'].var()
Find variance of age,df['age'].var()
